indiv_id,iter_num,accuracy,time_tolerance,interpretability,score,tournament_score,score_sd,top derived_features,top original_features,training_times,best_iterations,last_3_mutation_try_actual_actions,ngenes_start,ngenes_max,ngenes,ngenes_dead,nfeatures_max,nfeatures,feature_cost,model_name,target_transformer_name,from_brain,derived_from_brain,from_brain_count,derived_from_brain_count,booster,model_class_name,n_gpus,gpu_id,n_jobs,num_classes,num_class,labels,score_f_name,random_state,time_column,tgc,pred_gap,pred_periods,target,n_estimators,learning_rate,early_stopping_rounds,reg_alpha,reg_lambda,gamma,max_bin,scale_pos_weight,max_delta_step,min_child_weight,subsample,colsample_bytree,tree_method,grow_policy,max_depth,max_leaves,objective,eval_metric,early_stopping_threshold,monotonicity_constraints,silent,debug_verbose,seed,disable_gpus,lossguide,dummy,ensemble_level,train_shape,valid_shape,model_origin,subsample_freq,min_data_in_bin,min_child_samples,boosting_type,enable_early_stopping_rounds,epochs,add_wide,add_attention,layers,activation,batch_size,chunk_size,dropout,strategy,l1,l2,ort_loss,ort_loss_tau,normalize_type,best_learning_rate,task,experiment_id
0,23,7,2,8,0.5634237732434046,0.5634237732434046,0.09291161899183939,"[['3_TEXTCNN_TE:tweet.0', 1.0], ['3_TEXTCNN_TE:tweet.1', 0.9027996063232422], ['4_TEXTCHARCNN_TE:tweet.0', 0.8287928700447083]]","[['tweet', 1.0]]",8.470049381256104,82,"[['add', 'add'], ['add', 'mutate_extra_5_5']]",5,100,5,1,100,15,15,XGBOOSTGBM,NoneType,False,False,0,0,gbtree,XGBoostGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600.0,0.05,30.0,0.0,5.0,0.01,64.0,1.0,0.0,1.0,0.9,0.8,hist,lossguide,0,1024,multi:softprob,mlogloss,1e-05,False,True,0,923427085,True,False,False,1,"(1842, 2)",,RANDOM,,,,,,,,,,,,,,,,,,,,,,
0,24,7,2,8,0.5343895236454368,0.5343895236454368,0.033617054590965166,"[['0_CVTE:tweet.0', 1.0], ['0_CVTE:tweet.1', 1.0], ['0_CVTE:tweet.2', 1.0]]","[['tweet', 1.0]]",1.2550709247589111,1,[],1,1,1,0,100,3,3,CONSTANT,NoneType,False,False,0,0,constant,ConstantModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1.0,0.7,0.8,hist,depthwise,6,0,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,REF_0,1,1,1,gbdt,True,,,,,,,,,,,,,,,,,
0,25,7,2,8,0.584353993421028,0.584353993421028,0.024701379972161007,"[['0_CVTE:tweet.2', 1.0], ['0_CVTE:tweet.0', 0.9585563540458679], ['0_CVTE:tweet.1', 0.9203311204910278]]","[['tweet', 1.0]]",29.507022857666016,10,[],1,100,1,0,100,3,3,TENSORFLOW,NoneType,False,False,0,0,tensorflow,TensorFlowModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,,0.001,,,,,,,,,,,,,0,0,,,,,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,,,,,,10.0,False,False,"(100, 100, 100)",tanh,1024.0,1000.0,0.3,1cycle,0.0,0.0,0.5,0.01,streaming,,,
0,26,7,2,8,0.5778745514529242,0.5778745514529242,0.04822675305713812,"[['1_Txt:tweet.48', 1.0], ['1_Txt:tweet.11', 0.9730673432350159], ['1_Txt:tweet.16', 0.9481065273284912]]","[['tweet', 1.0]]",43.11001920700073,10,[],2,100,2,0,100,53,53,TENSORFLOW,NoneType,False,False,0,0,tensorflow,TensorFlowModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,,0.01,,,,,,,,,,,,,0,0,,,,,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,,,,,,10.0,False,True,"(100, 100, 100)",relu,256.0,1000.0,0.3,1cycle,0.0,0.0,0.5,0.01,streaming,,,
0,27,7,2,8,1.625362437486523,1.625362437486523,0.19191088871361084,"[['4_Txt:tweet.42', 1.0], ['0_CVTE:tweet.1', 0.9964040517807007], ['4_Txt:tweet.38', 0.9942657351493835]]","[['tweet', 1.0]]",38.434650182724,5,"[['add', 'add'], ['add', 'mutate_extra_3_3']]",3,100,3,1,100,56,56,TENSORFLOW,NoneType,False,False,0,0,tensorflow,TensorFlowModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,,0.01,,,,,,,,1,,,,,0,0,,,,False,True,,923427085,True,False,False,1,"(1842, 2)",,SEQUENCE,,,,,,5.0,False,False,"(500, 500, 500)",elu,512.0,1000.0,0.3,1cycle,0.0,0.0,0.5,0.01,streaming,,,
0,28,7,2,8,1.9617920076797106,1.9617920076797106,0.41763548782619403,"[['0_CVTE:tweet.1', 1.0], ['5_TEXTCHARCNN_TE:tweet.2', 0.9727122187614441], ['0_CVTE:tweet.2', 0.9546870589256287]]","[['tweet', 1.0]]",41.33305597305298,5,"[['add', 'add'], ['add', 'mutate_extra_5_4']]",5,100,4,1,100,10,10,TENSORFLOW,NoneType,False,False,0,0,tensorflow,TensorFlowModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,,0.1,,,,,,,,,,,,,0,0,,,,,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,,,,,,5.0,False,True,"(500, 500, 500)",relu,1024.0,1000.0,0.5,1cycle,0.0,0.0,0.5,0.01,streaming,,,
7,29,7,2,8,0.49439755091087134,0.49439755091087134,0.035634274898499005,"[['14_Txt:tweet.6', 1.0], ['14_Txt:tweet.12', 0.980894923210144], ['14_Txt:tweet.10', 0.9443979263305664]]","[['tweet', 1.0]]",3.8570761680603027,63,[],3,100,4,15,100,35,35,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600,0.05,30,0.0,1.0,0,256,1,0,1,0.7,0.8,hist,depthwise,6,0,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,EXTRA_FS,1,1,1,gbdt,True,,,,,,,,,,,,,,,0.05,<h2oai.core.Task object at 0x7fab24266278>,ee8677ee-8206-11ea-a595-0242ac110002
1,30,7,2,8,0.4835803632440788,0.4835803632440788,0.03384705501248988,"[['1_Txt:tweet.5', 1.0], ['1_Txt:tweet.7', 0.8471400141716003], ['1_Txt:tweet.12', 0.8421579599380493]]","[['tweet', 1.0]]",3.0976312160491943,102,"[['add_best', 'perturb_xgb'], ['add_best', 'prune_by_features_1'], ['add_best', 'prune_3']]",5,100,1,4,100,50,50,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600,0.05,30,0.0,10.0,0.001,128,1.0,0.0,1,0.9,0.65,hist,lossguide,0,16,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,SEQUENCE,10.0,10.0,50.0,gbdt,True,,,,,,,,,,,,,,,,,
4,30,7,2,8,0.49130823602509116,0.49130823602509116,0.03429365959964266,"[['1_Txt:tweet.5', 1.0], ['1_Txt:tweet.18', 0.8350554704666138], ['1_Txt:tweet.1', 0.8252760767936707]]","[['tweet', 1.0]]",30.330127954483032,210,"[['prune_by_features', 'prune_by_features_3'], ['add', 'add'], ['add', 'add']]",4,100,6,5,100,63,63,XGBOOSTGBM,NoneType,False,True,0,0,gbtree,XGBoostGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1070830757,,,,,,600,0.05,30,0.0,10.0,0.01,256,1.0,0.0,1,0.8,0.2,hist,lossguide,0,128,multi:softprob,mlogloss,1e-05,False,True,0.0,1070830757,True,False,False,1,"(1842, 2)",,SEQUENCE,,,,,,,,,,,,,,,,,,,,,,
5,30,7,2,8,0.4833505379873712,0.4833505379873712,0.03523285169276978,"[['1_Txt:tweet.5', 1.0], ['1_Txt:tweet.1', 0.9369691610336304], ['1_Txt:tweet.15', 0.8571895956993103]]","[['tweet', 1.0]]",5.364660263061523,86,"[['add', 'add'], ['prune_by_features', 'prune_by_features_3'], ['add_best', 'add_best']]",3,100,3,1,100,56,56,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600,0.05,30,0.0,10.0,0.1,64,1.0,0.0,1,0.7,0.7,hist,lossguide,0,1024,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,5.0,1.0,1.0,gbdt,True,,,,,,,,,,,,,,,,,
