Variable Importance
+----+-----------------------+---------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                | Description                                                                                                                                   |
| 35 |             0.19081   |                                  0.0780785  | 1_Txt:tweet.41         | Feature #42 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 36 |             0.172859  |                                  0.135477   | 1_Txt:tweet.10         | Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 37 |             0.167743  |                                  0.0238876  | 1_Txt:tweet.21         | Feature #22 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 38 |             0.167163  |                                  0.092753   | 1_Txt:tweet.36         | Feature #37 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 39 |             0.16264   |                                  0.0300813  | 1_Txt:tweet.30         | Feature #31 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 40 |             0.160002  |                                  0.136268   | 1_Txt:tweet.15         | Feature #16 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 41 |             0.157957  |                                  0.0645691  | 1_Txt:tweet.32         | Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 42 |             0.155906  |                                  0.0752636  | 1_Txt:tweet.11         | Feature #12 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 43 |             0.155754  |                                  0.0408868  | 1_Txt:tweet.34         | Feature #35 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 44 |             0.153952  |                                  0.0360772  | 1_Txt:tweet.44         | Feature #45 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 45 |             0.152484  |                                  0.0670288  | 1_Txt:tweet.20         | Feature #21 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 46 |             0.147684  |                                  0.0814368  | 1_Txt:tweet.25         | Feature #26 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 47 |             0.146478  |                                  0.0969596  | 1_Txt:tweet.49         | Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
