Variable Importance
+----+-----------------------+---------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                | Description                                                                                                                                   |
| 45 |              0.155283 |                                   0.0789619 | 1_Txt:tweet.38         | Feature #39 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 46 |              0.155036 |                                   0.0456748 | 1_Txt:tweet.1          | Feature #2 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
| 47 |              0.153046 |                                   0.0472614 | 1_Txt:tweet.49         | Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 48 |              0.138964 |                                   0.0565842 | 1_Txt:tweet.10         | Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 49 |              0.137389 |                                   0.0427721 | 1_Txt:tweet.30         | Feature #31 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 50 |              0.136796 |                                   0.0568605 | 1_Txt:tweet.43         | Feature #44 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 51 |              0.133147 |                                   0.0657686 | 1_Txt:tweet.18         | Feature #19 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 52 |              0.133114 |                                   0.0260855 | 1_Txt:tweet.32         | Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 53 |              0.132952 |                                   0.0232605 | 1_Txt:tweet.9          | Feature #10 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 54 |              0.128836 |                                   0.0464978 | 1_Txt:tweet.39         | Feature #40 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 55 |              0.112916 |                                   0.026398  | 1_Txt:tweet.48         | Feature #49 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
+----+-----------------------+---------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------+
