Coefficient,Standard Deviation of Coefficient,Description,Feature
1.601683,0.02522507,Feature #29 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.28
1.842858,0.09199545,Feature #30 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.29
4.16103,0.2546276,Feature #4 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.3
1.410248,0.065798,Feature #31 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.30
1.773698,0.1190252,Feature #32 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.31
1.682409,0.0671239,Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.32
1.708666,0.0973734,Feature #34 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.33
1.620883,0.08291329,Feature #35 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.34
1.568588,0.06706258,Feature #36 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.35
1.761313,0.09389382,Feature #37 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.36
1.503035,0.08391074,Feature #38 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.37
1.464213,0.05124135,Feature #39 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.38
